date,AMZN stock,isPartial
2012-10-01,36,False
2012-10-02,53,False
2012-10-03,63,False
2012-10-04,26,False
2012-10-05,45,False
2012-10-06,0,False
2012-10-07,41,False
2012-10-08,17,False
2012-10-09,17,False
2012-10-10,69,False
2012-10-11,26,False
2012-10-12,36,False
2012-10-13,0,False
2012-10-14,20,False
2012-10-15,67,False
2012-10-16,34,False
2012-10-17,68,False
2012-10-18,51,False
2012-10-19,72,False
2012-10-20,21,False
2012-10-21,0,False
2012-10-22,51,False
2012-10-23,17,False
2012-10-24,59,False
2012-10-25,87,False
2012-10-26,100,False
2012-10-27,42,False
2012-10-28,20,False
2012-10-29,25,False
2012-10-30,25,False
2012-10-31,43,False
