date,MU stock,isPartial
2017-10-01,19,False
2017-10-02,67,False
2017-10-03,94,False
2017-10-04,83,False
2017-10-05,77,False
2017-10-06,52,False
2017-10-07,15,False
2017-10-08,13,False
2017-10-09,64,False
2017-10-10,99,False
2017-10-11,100,False
2017-10-12,80,False
2017-10-13,62,False
2017-10-14,20,False
2017-10-15,8,False
2017-10-16,66,False
2017-10-17,71,False
2017-10-18,68,False
2017-10-19,74,False
2017-10-20,60,False
2017-10-21,25,False
2017-10-22,12,False
2017-10-23,68,False
2017-10-24,67,False
2017-10-25,64,False
2017-10-26,59,False
2017-10-27,55,False
2017-10-28,16,False
2017-10-29,9,False
2017-10-30,57,False
2017-10-31,95,False
