date,ATVI stock,isPartial
2016-05-01,16,False
2016-05-02,68,False
2016-05-03,20,False
2016-05-04,27,False
2016-05-05,97,False
2016-05-06,100,False
2016-05-07,64,False
2016-05-08,24,False
2016-05-09,47,False
2016-05-10,80,False
2016-05-11,40,False
2016-05-12,34,False
2016-05-13,63,False
2016-05-14,31,False
2016-05-15,15,False
2016-05-16,40,False
2016-05-17,100,False
2016-05-18,46,False
2016-05-19,40,False
2016-05-20,50,False
2016-05-21,24,False
2016-05-22,31,False
2016-05-23,53,False
2016-05-24,73,False
2016-05-25,75,False
2016-05-26,92,False
2016-05-27,57,False
2016-05-28,32,False
2016-05-29,0,False
2016-05-30,28,False
2016-05-31,27,False
