date,AAPL stock,isPartial
2015-04-01,41,False
2015-04-02,36,False
2015-04-03,21,False
2015-04-04,8,False
2015-04-05,1,False
2015-04-06,35,False
2015-04-07,52,False
2015-04-08,40,False
2015-04-09,34,False
2015-04-10,62,False
2015-04-11,18,False
2015-04-12,8,False
2015-04-13,40,False
2015-04-14,39,False
2015-04-15,43,False
2015-04-16,38,False
2015-04-17,42,False
2015-04-18,9,False
2015-04-19,7,False
2015-04-20,39,False
2015-04-21,53,False
2015-04-22,52,False
2015-04-23,39,False
2015-04-24,64,False
2015-04-25,16,False
2015-04-26,10,False
2015-04-27,87,False
2015-04-28,100,False
2015-04-29,80,False
2015-04-30,55,False
