date,INTC stock,isPartial
2018-03-01,51,False
2018-03-02,65,False
2018-03-03,19,False
2018-03-04,10,False
2018-03-05,41,False
2018-03-06,52,False
2018-03-07,71,False
2018-03-08,55,False
2018-03-09,73,False
2018-03-10,24,False
2018-03-11,18,False
2018-03-12,79,False
2018-03-13,90,False
2018-03-14,77,False
2018-03-15,53,False
2018-03-16,46,False
2018-03-17,16,False
2018-03-18,9,False
2018-03-19,54,False
2018-03-20,75,False
2018-03-21,63,False
2018-03-22,54,False
2018-03-23,72,False
2018-03-24,9,False
2018-03-25,8,False
2018-03-26,68,False
2018-03-27,74,False
2018-03-28,76,False
2018-03-29,100,False
2018-03-30,44,False
2018-03-31,5,False
