date,TSLA stock,isPartial
2015-07-01,41,False
2015-07-02,51,False
2015-07-03,22,False
2015-07-04,11,False
2015-07-05,7,False
2015-07-06,61,False
2015-07-07,47,False
2015-07-08,100,False
2015-07-09,51,False
2015-07-10,34,False
2015-07-11,11,False
2015-07-12,11,False
2015-07-13,47,False
2015-07-14,45,False
2015-07-15,48,False
2015-07-16,33,False
2015-07-17,38,False
2015-07-18,34,False
2015-07-19,27,False
2015-07-20,82,False
2015-07-21,65,False
2015-07-22,54,False
2015-07-23,21,False
2015-07-24,37,False
2015-07-25,14,False
2015-07-26,18,False
2015-07-27,50,False
2015-07-28,38,False
2015-07-29,35,False
2015-07-30,66,False
2015-07-31,40,False
