date,SIRI stock,isPartial
2012-10-01,39,False
2012-10-02,64,False
2012-10-03,69,False
2012-10-04,67,False
2012-10-05,39,False
2012-10-06,15,False
2012-10-07,15,False
2012-10-08,50,False
2012-10-09,74,False
2012-10-10,37,False
2012-10-11,71,False
2012-10-12,75,False
2012-10-13,20,False
2012-10-14,10,False
2012-10-15,57,False
2012-10-16,94,False
2012-10-17,49,False
2012-10-18,87,False
2012-10-19,100,False
2012-10-20,25,False
2012-10-21,20,False
2012-10-22,57,False
2012-10-23,57,False
2012-10-24,78,False
2012-10-25,84,False
2012-10-26,53,False
2012-10-27,20,False
2012-10-28,19,False
2012-10-29,12,False
2012-10-30,20,False
2012-10-31,46,False
