date,ATVI stock,isPartial
2019-03-01,68,False
2019-03-02,21,False
2019-03-03,19,False
2019-03-04,76,False
2019-03-05,41,False
2019-03-06,61,False
2019-03-07,83,False
2019-03-08,48,False
2019-03-09,17,False
2019-03-10,11,False
2019-03-11,43,False
2019-03-12,77,False
2019-03-13,62,False
2019-03-14,58,False
2019-03-15,57,False
2019-03-16,30,False
2019-03-17,21,False
2019-03-18,57,False
2019-03-19,84,False
2019-03-20,91,False
2019-03-21,100,False
2019-03-22,82,False
2019-03-23,22,False
2019-03-24,10,False
2019-03-25,63,False
2019-03-26,61,False
2019-03-27,64,False
2019-03-28,72,False
2019-03-29,64,False
2019-03-30,17,False
2019-03-31,11,False
