date,PEP stock,isPartial
2015-09-01,26,False
2015-09-02,100,False
2015-09-03,41,False
2015-09-04,35,False
2015-09-05,24,False
2015-09-06,24,False
2015-09-07,21,False
2015-09-08,40,False
2015-09-09,59,False
2015-09-10,40,False
2015-09-11,48,False
2015-09-12,58,False
2015-09-13,23,False
2015-09-14,59,False
2015-09-15,52,False
2015-09-16,33,False
2015-09-17,30,False
2015-09-18,41,False
2015-09-19,23,False
2015-09-20,0,False
2015-09-21,49,False
2015-09-22,58,False
2015-09-23,46,False
2015-09-24,34,False
2015-09-25,49,False
2015-09-26,23,False
2015-09-27,23,False
2015-09-28,48,False
2015-09-29,39,False
2015-09-30,71,False
