date,EA stock,isPartial
2017-02-01,100,False
2017-02-02,24,False
2017-02-03,37,False
2017-02-04,9,False
2017-02-05,0,False
2017-02-06,15,False
2017-02-07,43,False
2017-02-08,43,False
2017-02-09,44,False
2017-02-10,86,False
2017-02-11,45,False
2017-02-12,27,False
2017-02-13,46,False
2017-02-14,58,False
2017-02-15,83,False
2017-02-16,59,False
2017-02-17,62,False
2017-02-18,23,False
2017-02-19,0,False
2017-02-20,20,False
2017-02-21,46,False
2017-02-22,62,False
2017-02-23,55,False
2017-02-24,28,False
2017-02-25,22,False
2017-02-26,18,False
2017-02-27,23,False
2017-02-28,50,False
