date,MSFT stock,isPartial
2013-05-01,37,False
2013-05-02,25,False
2013-05-03,24,False
2013-05-04,9,False
2013-05-05,9,False
2013-05-06,28,False
2013-05-07,26,False
2013-05-08,36,False
2013-05-09,31,False
2013-05-10,22,False
2013-05-11,9,False
2013-05-12,0,False
2013-05-13,26,False
2013-05-14,31,False
2013-05-15,39,False
2013-05-16,35,False
2013-05-17,39,False
2013-05-18,18,False
2013-05-19,13,False
2013-05-20,33,False
2013-05-21,100,False
2013-05-22,70,False
2013-05-23,45,False
2013-05-24,29,False
2013-05-25,25,False
2013-05-26,13,False
2013-05-27,8,False
2013-05-28,25,False
2013-05-29,49,False
2013-05-30,34,False
2013-05-31,29,False
