date,WDC stock,isPartial
2018-01-01,13,False
2018-01-02,25,False
2018-01-03,43,False
2018-01-04,32,False
2018-01-05,29,False
2018-01-06,17,False
2018-01-07,6,False
2018-01-08,39,False
2018-01-09,20,False
2018-01-10,43,False
2018-01-11,33,False
2018-01-12,19,False
2018-01-13,13,False
2018-01-14,8,False
2018-01-15,19,False
2018-01-16,25,False
2018-01-17,32,False
2018-01-18,23,False
2018-01-19,41,False
2018-01-20,8,False
2018-01-21,4,False
2018-01-22,25,False
2018-01-23,37,False
2018-01-24,40,False
2018-01-25,61,False
2018-01-26,100,False
2018-01-27,15,False
2018-01-28,10,False
2018-01-29,36,False
2018-01-30,38,False
2018-01-31,46,False
