date,GRMN stock,isPartial
2017-01-01,65,False
2017-01-02,54,False
2017-01-03,52,False
2017-01-04,52,False
2017-01-05,0,False
2017-01-06,0,False
2017-01-07,0,False
2017-01-08,0,False
2017-01-09,50,False
2017-01-10,100,False
2017-01-11,0,False
2017-01-12,51,False
2017-01-13,0,False
2017-01-14,0,False
2017-01-15,0,False
2017-01-16,0,False
2017-01-17,0,False
2017-01-18,49,False
2017-01-19,0,False
2017-01-20,0,False
2017-01-21,0,False
2017-01-22,0,False
2017-01-23,0,False
2017-01-24,50,False
2017-01-25,50,False
2017-01-26,0,False
2017-01-27,52,False
2017-01-28,0,False
2017-01-29,0,False
2017-01-30,74,False
2017-01-31,74,False
