date,EBAY stock,isPartial
2014-12-01,80,False
2014-12-02,98,False
2014-12-03,83,False
2014-12-04,70,False
2014-12-05,71,False
2014-12-06,62,False
2014-12-07,57,False
2014-12-08,63,False
2014-12-09,75,False
2014-12-10,88,False
2014-12-11,100,False
2014-12-12,96,False
2014-12-13,73,False
2014-12-14,56,False
2014-12-15,95,False
2014-12-16,85,False
2014-12-17,79,False
2014-12-18,69,False
2014-12-19,79,False
2014-12-20,60,False
2014-12-21,57,False
2014-12-22,83,False
2014-12-23,72,False
2014-12-24,81,False
2014-12-25,41,False
2014-12-26,54,False
2014-12-27,58,False
2014-12-28,63,False
2014-12-29,77,False
2014-12-30,77,False
2014-12-31,58,False
