,date,DIS,isPartial
18,2012-07-19,58.65,False
19,2012-07-20,58.65,False
20,2012-07-21,53.129999999999995,False
21,2012-07-22,55.88999999999999,False
22,2012-07-23,61.41,False
23,2012-07-24,55.88999999999999,False
24,2012-07-25,57.269999999999996,False
25,2012-07-26,53.81999999999999,False
26,2012-07-27,58.65,False
27,2012-07-28,50.37,False
28,2012-07-29,64.17,False
29,2012-07-30,57.959999999999994,False
30,2012-07-31,54.51,False
0,2012-08-01,54.51,False
1,2012-08-02,44.849999999999994,False
2,2012-08-03,46.919999999999995,False
3,2012-08-04,43.47,False
4,2012-08-05,46.23,False
5,2012-08-06,45.54,False
6,2012-08-07,46.23,False
7,2012-08-08,49.67999999999999,False
8,2012-08-09,49.67999999999999,False
9,2012-08-10,47.61,False
10,2012-08-11,48.3,False
11,2012-08-12,44.16,False
12,2012-08-13,46.23,False
13,2012-08-14,51.74999999999999,False
14,2012-08-15,54.51,False
15,2012-08-16,45.54,False
16,2012-08-17,45.54,False
17,2012-08-18,49.67999999999999,False
18,2012-08-19,53.129999999999995,False
19,2012-08-20,39.33,False
20,2012-08-21,45.54,False
21,2012-08-22,50.37,False
22,2012-08-23,47.61,False
23,2012-08-24,44.16,False
24,2012-08-25,47.61,False
25,2012-08-26,69.0,False
26,2012-08-27,54.51,False
27,2012-08-28,51.059999999999995,False
28,2012-08-29,48.3,False
29,2012-08-30,51.059999999999995,False
30,2012-08-31,47.61,False
0,2012-09-01,65.32,False
1,2012-09-02,56.089999999999996,False
2,2012-09-03,56.8,False
3,2012-09-04,64.61,False
4,2012-09-05,60.349999999999994,False
5,2012-09-06,66.74,False
6,2012-09-07,59.64,False
7,2012-09-08,63.9,False
8,2012-09-09,61.769999999999996,False
9,2012-09-10,65.32,False
10,2012-09-11,66.74,False
11,2012-09-12,58.22,False
12,2012-09-13,63.19,False
13,2012-09-14,63.9,False
14,2012-09-15,55.379999999999995,False
15,2012-09-16,56.8,False
16,2012-09-17,67.45,False
17,2012-09-18,58.93,False
18,2012-09-19,66.74,False
19,2012-09-20,61.059999999999995,False
20,2012-09-21,71.0,False
21,2012-09-22,69.58,False
22,2012-09-23,61.769999999999996,False
