date,GS stock,isPartial
2015-01-01,34,False
2015-01-02,29,False
2015-01-03,77,False
2015-01-04,30,False
2015-01-05,92,False
2015-01-06,70,False
2015-01-07,60,False
2015-01-08,52,False
2015-01-09,40,False
2015-01-10,30,False
2015-01-11,74,False
2015-01-12,51,False
2015-01-13,63,False
2015-01-14,59,False
2015-01-15,52,False
2015-01-16,61,False
2015-01-17,45,False
2015-01-18,30,False
2015-01-19,51,False
2015-01-20,76,False
2015-01-21,50,False
2015-01-22,76,False
2015-01-23,35,False
2015-01-24,29,False
2015-01-25,0,False
2015-01-26,75,False
2015-01-27,100,False
2015-01-28,92,False
2015-01-29,25,False
2015-01-30,61,False
2015-01-31,0,False
