date,TSLA stock,isPartial
2013-04-01,94,False
2013-04-02,63,False
2013-04-03,52,False
2013-04-04,53,False
2013-04-05,22,False
2013-04-06,13,False
2013-04-07,12,False
2013-04-08,15,False
2013-04-09,10,False
2013-04-10,42,False
2013-04-11,42,False
2013-04-12,33,False
2013-04-13,38,False
2013-04-14,0,False
2013-04-15,37,False
2013-04-16,37,False
2013-04-17,52,False
2013-04-18,58,False
2013-04-19,38,False
2013-04-20,38,False
2013-04-21,25,False
2013-04-22,52,False
2013-04-23,100,False
2013-04-24,63,False
2013-04-25,71,False
2013-04-26,22,False
2013-04-27,57,False
2013-04-28,19,False
2013-04-29,53,False
2013-04-30,90,False
