date,PEP stock,isPartial
2017-10-01,11,False
2017-10-02,57,False
2017-10-03,28,False
2017-10-04,100,False
2017-10-05,43,False
2017-10-06,10,False
2017-10-07,11,False
2017-10-08,33,False
2017-10-09,19,False
2017-10-10,33,False
2017-10-11,19,False
2017-10-12,67,False
2017-10-13,34,False
2017-10-14,11,False
2017-10-15,11,False
2017-10-16,28,False
2017-10-17,28,False
2017-10-18,33,False
2017-10-19,15,False
2017-10-20,25,False
2017-10-21,22,False
2017-10-22,31,False
2017-10-23,19,False
2017-10-24,33,False
2017-10-25,37,False
2017-10-26,19,False
2017-10-27,34,False
2017-10-28,11,False
2017-10-29,0,False
2017-10-30,23,False
2017-10-31,48,False
