date,TWTR,isPartial
2013-08-01,43,False
2013-08-02,46,False
2013-08-03,44,False
2013-08-04,70,False
2013-08-05,29,False
2013-08-06,100,False
2013-08-07,36,False
2013-08-08,37,False
2013-08-09,23,False
2013-08-10,44,False
2013-08-11,70,False
2013-08-12,0,False
2013-08-13,85,False
2013-08-14,65,False
2013-08-15,46,False
2013-08-16,31,False
2013-08-17,17,False
2013-08-18,34,False
2013-08-19,14,False
2013-08-20,28,False
2013-08-21,56,False
2013-08-22,50,False
2013-08-23,30,False
2013-08-24,34,False
2013-08-25,34,False
2013-08-26,55,False
2013-08-27,55,False
2013-08-28,21,False
2013-08-29,42,False
2013-08-30,15,False
2013-08-31,59,False
