date,SIRI stock,isPartial
2012-11-01,76,False
2012-11-02,82,False
2012-11-03,32,False
2012-11-04,21,False
2012-11-05,35,False
2012-11-06,88,False
2012-11-07,65,False
2012-11-08,76,False
2012-11-09,52,False
2012-11-10,38,False
2012-11-11,21,False
2012-11-12,53,False
2012-11-13,67,False
2012-11-14,18,False
2012-11-15,50,False
2012-11-16,33,False
2012-11-17,16,False
2012-11-18,21,False
2012-11-19,61,False
2012-11-20,52,False
2012-11-21,54,False
2012-11-22,9,False
2012-11-23,47,False
2012-11-24,32,False
2012-11-25,15,False
2012-11-26,51,False
2012-11-27,60,False
2012-11-28,73,False
2012-11-29,100,False
2012-11-30,73,False
