,date,FB,isPartial
18,2012-06-19,46.480000000000004,False
19,2012-06-20,46.480000000000004,False
20,2012-06-21,48.160000000000004,False
21,2012-06-22,48.160000000000004,False
22,2012-06-23,54.88,False
23,2012-06-24,52.64000000000001,False
24,2012-06-25,47.040000000000006,False
25,2012-06-26,47.040000000000006,False
26,2012-06-27,46.480000000000004,False
27,2012-06-28,47.6,False
28,2012-06-29,48.160000000000004,False
29,2012-06-30,55.440000000000005,False
0,2012-07-01,51.150000000000006,False
1,2012-07-02,45.650000000000006,False
2,2012-07-03,45.1,False
3,2012-07-04,46.75000000000001,False
4,2012-07-05,47.300000000000004,False
5,2012-07-06,47.85,False
6,2012-07-07,54.45,False
7,2012-07-08,51.150000000000006,False
8,2012-07-09,45.1,False
9,2012-07-10,44.0,False
10,2012-07-11,45.1,False
11,2012-07-12,46.2,False
12,2012-07-13,45.1,False
13,2012-07-14,54.45,False
14,2012-07-15,52.800000000000004,False
15,2012-07-16,44.550000000000004,False
16,2012-07-17,44.550000000000004,False
17,2012-07-18,45.650000000000006,False
18,2012-07-19,46.2,False
19,2012-07-20,47.300000000000004,False
20,2012-07-21,55.00000000000001,False
21,2012-07-22,54.45,False
22,2012-07-23,46.2,False
23,2012-07-24,45.650000000000006,False
24,2012-07-25,45.650000000000006,False
25,2012-07-26,47.300000000000004,False
26,2012-07-27,48.95,False
27,2012-07-28,52.800000000000004,False
28,2012-07-29,53.900000000000006,False
29,2012-07-30,48.400000000000006,False
30,2012-07-31,46.75000000000001,False
0,2012-08-01,47.879999999999995,False
1,2012-08-02,47.879999999999995,False
2,2012-08-03,50.16,False
3,2012-08-04,55.85999999999999,False
4,2012-08-05,54.72,False
5,2012-08-06,46.739999999999995,False
6,2012-08-07,46.739999999999995,False
7,2012-08-08,46.169999999999995,False
8,2012-08-09,48.449999999999996,False
9,2012-08-10,47.879999999999995,False
10,2012-08-11,55.85999999999999,False
11,2012-08-12,56.99999999999999,False
12,2012-08-13,46.739999999999995,False
13,2012-08-14,45.599999999999994,False
14,2012-08-15,47.879999999999995,False
15,2012-08-16,49.019999999999996,False
16,2012-08-17,48.449999999999996,False
17,2012-08-18,51.87,False
18,2012-08-19,49.589999999999996,False
19,2012-08-20,47.309999999999995,False
20,2012-08-21,45.029999999999994,False
21,2012-08-22,45.599999999999994,False
22,2012-08-23,47.879999999999995,False
23,2012-08-24,50.16,False
24,2012-08-25,54.15,False
25,2012-08-26,54.72,False
