date,GOOG stock,isPartial
2018-03-01,59,False
2018-03-02,55,False
2018-03-03,28,False
2018-03-04,11,False
2018-03-05,50,False
2018-03-06,50,False
2018-03-07,66,False
2018-03-08,49,False
2018-03-09,53,False
2018-03-10,22,False
2018-03-11,9,False
2018-03-12,51,False
2018-03-13,53,False
2018-03-14,48,False
2018-03-15,45,False
2018-03-16,36,False
2018-03-17,17,False
2018-03-18,19,False
2018-03-19,52,False
2018-03-20,86,False
2018-03-21,76,False
2018-03-22,53,False
2018-03-23,78,False
2018-03-24,28,False
2018-03-25,14,False
2018-03-26,84,False
2018-03-27,77,False
2018-03-28,100,False
2018-03-29,100,False
2018-03-30,38,False
2018-03-31,20,False
