date,EBAY stock,isPartial
2018-03-01,96,False
2018-03-02,79,False
2018-03-03,56,False
2018-03-04,54,False
2018-03-05,61,False
2018-03-06,88,False
2018-03-07,85,False
2018-03-08,92,False
2018-03-09,81,False
2018-03-10,75,False
2018-03-11,52,False
2018-03-12,79,False
2018-03-13,87,False
2018-03-14,78,False
2018-03-15,69,False
2018-03-16,86,False
2018-03-17,56,False
2018-03-18,65,False
2018-03-19,83,False
2018-03-20,87,False
2018-03-21,77,False
2018-03-22,86,False
2018-03-23,100,False
2018-03-24,71,False
2018-03-25,54,False
2018-03-26,83,False
2018-03-27,91,False
2018-03-28,92,False
2018-03-29,99,False
2018-03-30,74,False
2018-03-31,46,False
