date,EBAY stock,isPartial
2016-09-01,83,False
2016-09-02,87,False
2016-09-03,52,False
2016-09-04,66,False
2016-09-05,38,False
2016-09-06,63,False
2016-09-07,82,False
2016-09-08,79,False
2016-09-09,70,False
2016-09-10,62,False
2016-09-11,67,False
2016-09-12,74,False
2016-09-13,100,False
2016-09-14,53,False
2016-09-15,77,False
2016-09-16,63,False
2016-09-17,42,False
2016-09-18,50,False
2016-09-19,64,False
2016-09-20,90,False
2016-09-21,85,False
2016-09-22,87,False
2016-09-23,70,False
2016-09-24,53,False
2016-09-25,46,False
2016-09-26,74,False
2016-09-27,74,False
2016-09-28,66,False
2016-09-29,81,False
2016-09-30,75,False
