date,DIS stock,isPartial
2017-10-01,11,False
2017-10-02,100,False
2017-10-03,52,False
2017-10-04,53,False
2017-10-05,43,False
2017-10-06,59,False
2017-10-07,0,False
2017-10-08,5,False
2017-10-09,42,False
2017-10-10,52,False
2017-10-11,57,False
2017-10-12,72,False
2017-10-13,64,False
2017-10-14,0,False
2017-10-15,16,False
2017-10-16,61,False
2017-10-17,61,False
2017-10-18,71,False
2017-10-19,54,False
2017-10-20,55,False
2017-10-21,11,False
2017-10-22,5,False
2017-10-23,65,False
2017-10-24,42,False
2017-10-25,28,False
2017-10-26,29,False
2017-10-27,39,False
2017-10-28,44,False
2017-10-29,16,False
2017-10-30,70,False
2017-10-31,77,False
