date,HAS stock,isPartial
2015-06-01,93,False
2015-06-02,87,False
2015-06-03,81,False
2015-06-04,76,False
2015-06-05,79,False
2015-06-06,64,False
2015-06-07,58,False
2015-06-08,83,False
2015-06-09,85,False
2015-06-10,81,False
2015-06-11,96,False
2015-06-12,73,False
2015-06-13,76,False
2015-06-14,79,False
2015-06-15,66,False
2015-06-16,77,False
2015-06-17,59,False
2015-06-18,87,False
2015-06-19,73,False
2015-06-20,86,False
2015-06-21,99,False
2015-06-22,87,False
2015-06-23,88,False
2015-06-24,58,False
2015-06-25,100,False
2015-06-26,75,False
2015-06-27,80,False
2015-06-28,62,False
2015-06-29,92,False
2015-06-30,73,False
