date,GILD stock,isPartial
2016-12-01,40,False
2016-12-02,82,False
2016-12-03,11,False
2016-12-04,14,False
2016-12-05,51,False
2016-12-06,35,False
2016-12-07,55,False
2016-12-08,96,False
2016-12-09,55,False
2016-12-10,15,False
2016-12-11,11,False
2016-12-12,73,False
2016-12-13,80,False
2016-12-14,42,False
2016-12-15,100,False
2016-12-16,59,False
2016-12-17,15,False
2016-12-18,8,False
2016-12-19,51,False
2016-12-20,44,False
2016-12-21,35,False
2016-12-22,49,False
2016-12-23,51,False
2016-12-24,12,False
2016-12-25,9,False
2016-12-26,7,False
2016-12-27,42,False
2016-12-28,35,False
2016-12-29,53,False
2016-12-30,77,False
2016-12-31,24,False
