date,TWTR,isPartial
2012-12-01,0,False
2012-12-02,48,False
2012-12-03,50,False
2012-12-04,30,False
2012-12-05,51,False
2012-12-06,42,False
2012-12-07,0,False
2012-12-08,100,False
2012-12-09,24,False
2012-12-10,20,False
2012-12-11,20,False
2012-12-12,20,False
2012-12-13,62,False
2012-12-14,54,False
2012-12-15,49,False
2012-12-16,73,False
2012-12-17,61,False
2012-12-18,21,False
2012-12-19,63,False
2012-12-20,53,False
2012-12-21,45,False
2012-12-22,77,False
2012-12-23,79,False
2012-12-24,52,False
2012-12-25,55,False
2012-12-26,47,False
2012-12-27,0,False
2012-12-28,79,False
2012-12-29,25,False
2012-12-30,75,False
2012-12-31,62,False
