date,WMT stock,isPartial
2013-09-01,0,False
2013-09-02,21,False
2013-09-03,54,False
2013-09-04,14,False
2013-09-05,21,False
2013-09-06,29,False
2013-09-07,25,False
2013-09-08,24,False
2013-09-09,47,False
2013-09-10,26,False
2013-09-11,81,False
2013-09-12,34,False
2013-09-13,49,False
2013-09-14,16,False
2013-09-15,16,False
2013-09-16,0,False
2013-09-17,60,False
2013-09-18,40,False
2013-09-19,48,False
2013-09-20,100,False
2013-09-21,48,False
2013-09-22,16,False
2013-09-23,40,False
2013-09-24,20,False
2013-09-25,14,False
2013-09-26,21,False
2013-09-27,28,False
2013-09-28,0,False
2013-09-29,16,False
2013-09-30,53,False
