date,PFE stock,isPartial
2015-05-01,37,False
2015-05-02,0,False
2015-05-03,31,False
2015-05-04,78,False
2015-05-05,52,False
2015-05-06,45,False
2015-05-07,53,False
2015-05-08,21,False
2015-05-09,16,False
2015-05-10,24,False
2015-05-11,32,False
2015-05-12,45,False
2015-05-13,39,False
2015-05-14,100,False
2015-05-15,68,False
2015-05-16,0,False
2015-05-17,15,False
2015-05-18,64,False
2015-05-19,96,False
2015-05-20,32,False
2015-05-21,39,False
2015-05-22,55,False
2015-05-23,23,False
2015-05-24,31,False
2015-05-25,20,False
2015-05-26,45,False
2015-05-27,45,False
2015-05-28,52,False
2015-05-29,48,False
2015-05-30,16,False
2015-05-31,15,False
