date,EBAY stock,isPartial
2017-09-01,62,False
2017-09-02,71,False
2017-09-03,40,False
2017-09-04,66,False
2017-09-05,71,False
2017-09-06,82,False
2017-09-07,80,False
2017-09-08,82,False
2017-09-09,64,False
2017-09-10,29,False
2017-09-11,66,False
2017-09-12,66,False
2017-09-13,74,False
2017-09-14,87,False
2017-09-15,67,False
2017-09-16,50,False
2017-09-17,61,False
2017-09-18,59,False
2017-09-19,87,False
2017-09-20,84,False
2017-09-21,76,False
2017-09-22,100,False
2017-09-23,46,False
2017-09-24,43,False
2017-09-25,77,False
2017-09-26,69,False
2017-09-27,78,False
2017-09-28,63,False
2017-09-29,98,False
2017-09-30,80,False
