date,WDC stock,isPartial
2016-06-01,61,False
2016-06-02,100,False
2016-06-03,59,False
2016-06-04,11,False
2016-06-05,16,False
2016-06-06,37,False
2016-06-07,65,False
2016-06-08,47,False
2016-06-09,38,False
2016-06-10,15,False
2016-06-11,11,False
2016-06-12,21,False
2016-06-13,65,False
2016-06-14,37,False
2016-06-15,14,False
2016-06-16,23,False
2016-06-17,29,False
2016-06-18,11,False
2016-06-19,11,False
2016-06-20,28,False
2016-06-21,23,False
2016-06-22,38,False
2016-06-23,87,False
2016-06-24,75,False
2016-06-25,45,False
2016-06-26,11,False
2016-06-27,80,False
2016-06-28,47,False
2016-06-29,53,False
2016-06-30,83,False
