,date,NFLX,isPartial
22,2012-06-23,1.4700000000000002,False
23,2012-06-24,2.1700000000000004,False
24,2012-06-25,3.99,False
25,2012-06-26,5.180000000000001,False
26,2012-06-27,4.0600000000000005,False
27,2012-06-28,2.3800000000000003,False
28,2012-06-29,4.340000000000001,False
29,2012-06-30,0.0,False
0,2012-07-01,0.0,False
1,2012-07-02,1.8200000000000003,False
2,2012-07-03,2.3800000000000003,False
3,2012-07-04,1.9600000000000002,False
4,2012-07-05,6.580000000000001,False
5,2012-07-06,2.5200000000000005,False
6,2012-07-07,1.9600000000000002,False
7,2012-07-08,1.54,False
8,2012-07-09,2.3800000000000003,False
9,2012-07-10,2.3800000000000003,False
10,2012-07-11,4.340000000000001,False
11,2012-07-12,5.6000000000000005,False
12,2012-07-13,3.9200000000000004,False
13,2012-07-14,0.7000000000000001,False
14,2012-07-15,1.54,False
15,2012-07-16,3.08,False
16,2012-07-17,1.54,False
17,2012-07-18,1.2600000000000002,False
18,2012-07-19,3.08,False
19,2012-07-20,2.66,False
20,2012-07-21,0.8400000000000001,False
21,2012-07-22,1.12,False
22,2012-07-23,1.2600000000000002,False
23,2012-07-24,11.48,False
24,2012-07-25,14.000000000000002,False
25,2012-07-26,7.420000000000001,False
26,2012-07-27,6.16,False
27,2012-07-28,1.12,False
28,2012-07-29,1.12,False
29,2012-07-30,4.340000000000001,False
30,2012-07-31,2.3800000000000003,False
0,2012-08-01,9.0,False
1,2012-08-02,4.41,False
2,2012-08-03,8.19,False
3,2012-08-04,2.6999999999999997,False
4,2012-08-05,1.17,False
5,2012-08-06,7.739999999999999,False
6,2012-08-07,4.32,False
7,2012-08-08,8.1,False
8,2012-08-09,4.05,False
9,2012-08-10,7.109999999999999,False
10,2012-08-11,1.53,False
11,2012-08-12,1.17,False
12,2012-08-13,5.22,False
13,2012-08-14,7.02,False
14,2012-08-15,5.3999999999999995,False
15,2012-08-16,6.93,False
16,2012-08-17,5.22,False
17,2012-08-18,1.53,False
18,2012-08-19,1.53,False
19,2012-08-20,7.38,False
20,2012-08-21,7.739999999999999,False
21,2012-08-22,7.38,False
22,2012-08-23,3.78,False
23,2012-08-24,4.859999999999999,False
24,2012-08-25,1.53,False
25,2012-08-26,1.7999999999999998,False
26,2012-08-27,4.5,False
27,2012-08-28,4.5,False
28,2012-08-29,3.5999999999999996,False
29,2012-08-30,5.13,False
30,2012-08-31,3.15,False
0,2012-09-01,1.2,False
1,2012-09-02,0.56,False
2,2012-09-03,2.48,False
3,2012-09-04,8.0,False
4,2012-09-05,7.76,False
5,2012-09-06,7.28,False
6,2012-09-07,2.56,False
7,2012-09-08,1.2,False
8,2012-09-09,0.56,False
9,2012-09-10,1.44,False
10,2012-09-11,4.24,False
11,2012-09-12,4.32,False
12,2012-09-13,2.88,False
13,2012-09-14,2.96,False
14,2012-09-15,1.12,False
15,2012-09-16,1.12,False
16,2012-09-17,3.2800000000000002,False
17,2012-09-18,3.68,False
18,2012-09-19,2.88,False
19,2012-09-20,4.32,False
20,2012-09-21,3.52,False
21,2012-09-22,0.56,False
22,2012-09-23,1.12,False
23,2012-09-24,0.48,False
24,2012-09-25,4.16,False
25,2012-09-26,7.04,False
26,2012-09-27,5.68,False
27,2012-09-28,6.88,False
28,2012-09-29,0.0,False
29,2012-09-30,0.0,False
0,2012-10-01,3.3600000000000003,False
1,2012-10-02,2.5200000000000005,False
2,2012-10-03,3.7800000000000002,False
3,2012-10-04,5.74,False
4,2012-10-05,7.000000000000001,False
5,2012-10-06,0.7000000000000001,False
6,2012-10-07,1.9600000000000002,False
7,2012-10-08,8.540000000000001,False
8,2012-10-09,9.100000000000001,False
9,2012-10-10,7.420000000000001,False
10,2012-10-11,5.040000000000001,False
11,2012-10-12,3.3600000000000003,False
12,2012-10-13,1.8200000000000003,False
13,2012-10-14,0.7000000000000001,False
14,2012-10-15,2.9400000000000004,False
15,2012-10-16,3.22,False
16,2012-10-17,2.66,False
17,2012-10-18,3.3600000000000003,False
18,2012-10-19,3.6400000000000006,False
19,2012-10-20,0.9800000000000001,False
20,2012-10-21,1.4000000000000001,False
21,2012-10-22,5.180000000000001,False
22,2012-10-23,13.860000000000001,False
23,2012-10-24,11.48,False
24,2012-10-25,4.760000000000001,False
25,2012-10-26,5.880000000000001,False
26,2012-10-27,3.22,False
27,2012-10-28,1.9600000000000002,False
28,2012-10-29,4.340000000000001,False
29,2012-10-30,1.4000000000000001,False
30,2012-10-31,14.000000000000002,False
0,2012-11-01,10.0,False
1,2012-11-02,6.7,False
2,2012-11-03,0.4,False
3,2012-11-04,0.4,False
