date,AMZN stock,isPartial
2015-11-01,20,False
2015-11-02,72,False
2015-11-03,81,False
2015-11-04,84,False
2015-11-05,99,False
2015-11-06,97,False
2015-11-07,20,False
2015-11-08,27,False
2015-11-09,64,False
2015-11-10,75,False
2015-11-11,77,False
2015-11-12,84,False
2015-11-13,84,False
2015-11-14,20,False
2015-11-15,10,False
2015-11-16,96,False
2015-11-17,70,False
2015-11-18,100,False
2015-11-19,70,False
2015-11-20,51,False
2015-11-21,35,False
2015-11-22,10,False
2015-11-23,68,False
2015-11-24,70,False
2015-11-25,99,False
2015-11-26,27,False
2015-11-27,69,False
2015-11-28,17,False
2015-11-29,24,False
2015-11-30,69,False
