date,COST stock,isPartial
2015-06-01,69,False
2015-06-02,60,False
2015-06-03,66,False
2015-06-04,72,False
2015-06-05,76,False
2015-06-06,41,False
2015-06-07,84,False
2015-06-08,74,False
2015-06-09,87,False
2015-06-10,64,False
2015-06-11,69,False
2015-06-12,78,False
2015-06-13,68,False
2015-06-14,60,False
2015-06-15,53,False
2015-06-16,82,False
2015-06-17,66,False
2015-06-18,73,False
2015-06-19,70,False
2015-06-20,41,False
2015-06-21,45,False
2015-06-22,86,False
2015-06-23,100,False
2015-06-24,95,False
2015-06-25,95,False
2015-06-26,75,False
2015-06-27,53,False
2015-06-28,57,False
2015-06-29,87,False
2015-06-30,91,False
