date,PFE stock,isPartial
2013-09-01,30,False
2013-09-02,51,False
2013-09-03,49,False
2013-09-04,99,False
2013-09-05,25,False
2013-09-06,26,False
2013-09-07,30,False
2013-09-08,29,False
2013-09-09,49,False
2013-09-10,48,False
2013-09-11,74,False
2013-09-12,24,False
2013-09-13,76,False
2013-09-14,0,False
2013-09-15,0,False
2013-09-16,73,False
2013-09-17,48,False
2013-09-18,24,False
2013-09-19,100,False
2013-09-20,52,False
2013-09-21,0,False
2013-09-22,29,False
2013-09-23,48,False
2013-09-24,48,False
2013-09-25,74,False
2013-09-26,0,False
2013-09-27,52,False
2013-09-28,0,False
2013-09-29,29,False
2013-09-30,24,False
