date,MDLZ stock,isPartial
2013-05-01,51,False
2013-05-02,0,False
2013-05-03,50,False
2013-05-04,0,False
2013-05-05,0,False
2013-05-06,48,False
2013-05-07,47,False
2013-05-08,47,False
2013-05-09,0,False
2013-05-10,100,False
2013-05-11,57,False
2013-05-12,0,False
2013-05-13,47,False
2013-05-14,47,False
2013-05-15,46,False
2013-05-16,70,False
2013-05-17,0,False
2013-05-18,85,False
2013-05-19,57,False
2013-05-20,47,False
2013-05-21,46,False
2013-05-22,0,False
2013-05-23,46,False
2013-05-24,0,False
2013-05-25,57,False
2013-05-26,0,False
2013-05-27,0,False
2013-05-28,0,False
2013-05-29,0,False
2013-05-30,48,False
2013-05-31,0,False
