date,GOOG stock,isPartial
2018-02-01,100,False
2018-02-02,100,False
2018-02-03,21,False
2018-02-04,12,False
2018-02-05,59,False
2018-02-06,74,False
2018-02-07,54,False
2018-02-08,69,False
2018-02-09,67,False
2018-02-10,18,False
2018-02-11,13,False
2018-02-12,35,False
2018-02-13,34,False
2018-02-14,47,False
2018-02-15,38,False
2018-02-16,35,False
2018-02-17,10,False
2018-02-18,14,False
2018-02-19,10,False
2018-02-20,32,False
2018-02-21,33,False
2018-02-22,39,False
2018-02-23,28,False
2018-02-24,13,False
2018-02-25,8,False
2018-02-26,30,False
2018-02-27,30,False
2018-02-28,37,False
