,date,AAPL,isPartial
14,2012-07-15,4.699999999999999,False
15,2012-07-16,13.629999999999999,False
16,2012-07-17,15.979999999999999,False
17,2012-07-18,16.45,False
18,2012-07-19,17.86,False
19,2012-07-20,19.27,False
20,2012-07-21,5.17,False
21,2012-07-22,4.2299999999999995,False
22,2012-07-23,20.209999999999997,False
23,2012-07-24,42.769999999999996,False
24,2012-07-25,47.0,False
25,2012-07-26,23.97,False
26,2012-07-27,19.74,False
27,2012-07-28,7.05,False
28,2012-07-29,4.2299999999999995,False
29,2012-07-30,19.74,False
30,2012-07-31,21.15,False
0,2012-08-01,31.360000000000003,False
1,2012-08-02,29.680000000000003,False
2,2012-08-03,30.800000000000004,False
3,2012-08-04,10.080000000000002,False
4,2012-08-05,7.280000000000001,False
5,2012-08-06,26.320000000000004,False
6,2012-08-07,30.800000000000004,False
7,2012-08-08,25.200000000000003,False
8,2012-08-09,26.320000000000004,False
9,2012-08-10,28.000000000000004,False
10,2012-08-11,9.520000000000001,False
11,2012-08-12,6.16,False
12,2012-08-13,26.320000000000004,False
13,2012-08-14,31.92,False
14,2012-08-15,27.44,False
15,2012-08-16,30.240000000000002,False
16,2012-08-17,42.56,False
17,2012-08-18,17.92,False
18,2012-08-19,11.200000000000001,False
19,2012-08-20,48.160000000000004,False
20,2012-08-21,49.28,False
21,2012-08-22,42.56,False
22,2012-08-23,40.32000000000001,False
23,2012-08-24,40.88,False
24,2012-08-25,35.28,False
25,2012-08-26,15.680000000000001,False
26,2012-08-27,56.00000000000001,False
27,2012-08-28,44.24,False
28,2012-08-29,35.84,False
29,2012-08-30,34.720000000000006,False
30,2012-08-31,29.120000000000005,False
0,2012-09-01,9.799999999999999,False
1,2012-09-02,6.3,False
2,2012-09-03,6.3,False
3,2012-09-04,25.9,False
4,2012-09-05,28.0,False
5,2012-09-06,30.799999999999997,False
6,2012-09-07,25.2,False
7,2012-09-08,10.5,False
8,2012-09-09,7.0,False
9,2012-09-10,29.4,False
