date,COST stock,isPartial
2016-05-01,70,False
2016-05-02,93,False
2016-05-03,95,False
2016-05-04,100,False
2016-05-05,88,False
2016-05-06,69,False
2016-05-07,57,False
2016-05-08,57,False
2016-05-09,85,False
2016-05-10,94,False
2016-05-11,79,False
2016-05-12,80,False
2016-05-13,64,False
2016-05-14,44,False
2016-05-15,51,False
2016-05-16,66,False
2016-05-17,63,False
2016-05-18,70,False
2016-05-19,67,False
2016-05-20,67,False
2016-05-21,45,False
2016-05-22,63,False
2016-05-23,54,False
2016-05-24,66,False
2016-05-25,88,False
2016-05-26,78,False
2016-05-27,57,False
2016-05-28,36,False
2016-05-29,45,False
2016-05-30,66,False
2016-05-31,54,False
