date,DIS stock,isPartial
2014-05-01,20,False
2014-05-02,30,False
2014-05-03,22,False
2014-05-04,22,False
2014-05-05,66,False
2014-05-06,84,False
2014-05-07,46,False
2014-05-08,56,False
2014-05-09,59,False
2014-05-10,0,False
2014-05-11,33,False
2014-05-12,73,False
2014-05-13,100,False
2014-05-14,47,False
2014-05-15,85,False
2014-05-16,77,False
2014-05-17,0,False
2014-05-18,0,False
2014-05-19,37,False
2014-05-20,75,False
2014-05-21,51,False
2014-05-22,20,False
2014-05-23,64,False
2014-05-24,0,False
2014-05-25,0,False
2014-05-26,0,False
2014-05-27,70,False
2014-05-28,41,False
2014-05-29,63,False
2014-05-30,32,False
2014-05-31,13,False
