date,AMZN stock,isPartial
2013-06-01,19,False
2013-06-02,19,False
2013-06-03,93,False
2013-06-04,16,False
2013-06-05,16,False
2013-06-06,48,False
2013-06-07,98,False
2013-06-08,57,False
2013-06-09,19,False
2013-06-10,77,False
2013-06-11,61,False
2013-06-12,47,False
2013-06-13,31,False
2013-06-14,100,False
2013-06-15,19,False
2013-06-16,19,False
2013-06-17,0,False
2013-06-18,63,False
2013-06-19,47,False
2013-06-20,48,False
2013-06-21,67,False
2013-06-22,0,False
2013-06-23,38,False
2013-06-24,78,False
2013-06-25,31,False
2013-06-26,47,False
2013-06-27,95,False
2013-06-28,34,False
2013-06-29,0,False
2013-06-30,0,False
