date,TXN stock,isPartial
2012-01-01,48,False
2012-01-02,74,False
2012-01-03,0,False
2012-01-04,68,False
2012-01-05,0,False
2012-01-06,36,False
2012-01-07,0,False
2012-01-08,0,False
2012-01-09,100,False
2012-01-10,66,False
2012-01-11,33,False
2012-01-12,0,False
2012-01-13,0,False
2012-01-14,40,False
2012-01-15,0,False
2012-01-16,32,False
2012-01-17,0,False
2012-01-18,49,False
2012-01-19,33,False
2012-01-20,51,False
2012-01-21,52,False
2012-01-22,39,False
2012-01-23,49,False
2012-01-24,32,False
2012-01-25,33,False
2012-01-26,33,False
2012-01-27,33,False
2012-01-28,39,False
2012-01-29,0,False
2012-01-30,63,False
2012-01-31,32,False
