date,ADBE stock,isPartial
2017-02-01,48,False
2017-02-02,0,False
2017-02-03,26,False
2017-02-04,0,False
2017-02-05,0,False
2017-02-06,24,False
2017-02-07,24,False
2017-02-08,24,False
2017-02-09,100,False
2017-02-10,26,False
2017-02-11,0,False
2017-02-12,0,False
2017-02-13,48,False
2017-02-14,49,False
2017-02-15,49,False
2017-02-16,49,False
2017-02-17,37,False
2017-02-18,0,False
2017-02-19,28,False
2017-02-20,0,False
2017-02-21,0,False
2017-02-22,0,False
2017-02-23,25,False
2017-02-24,25,False
2017-02-25,28,False
2017-02-26,0,False
2017-02-27,59,False
2017-02-28,24,False
