date,HD stock,isPartial
2019-02-01,40,False
2019-02-02,19,False
2019-02-03,18,False
2019-02-04,34,False
2019-02-05,46,False
2019-02-06,31,False
2019-02-07,26,False
2019-02-08,30,False
2019-02-09,12,False
2019-02-10,11,False
2019-02-11,29,False
2019-02-12,31,False
2019-02-13,32,False
2019-02-14,43,False
2019-02-15,38,False
2019-02-16,24,False
2019-02-17,12,False
2019-02-18,19,False
2019-02-19,43,False
2019-02-20,40,False
2019-02-21,45,False
2019-02-22,45,False
2019-02-23,17,False
2019-02-24,12,False
2019-02-25,39,False
2019-02-26,100,False
2019-02-27,64,False
2019-02-28,49,False
