date,GS stock,isPartial
2013-10-01,71,False
2013-10-02,36,False
2013-10-03,55,False
2013-10-04,70,False
2013-10-05,48,False
2013-10-06,31,False
2013-10-07,67,False
2013-10-08,62,False
2013-10-09,81,False
2013-10-10,45,False
2013-10-11,66,False
2013-10-12,65,False
2013-10-13,32,False
2013-10-14,27,False
2013-10-15,63,False
2013-10-16,100,False
2013-10-17,82,False
2013-10-18,85,False
2013-10-19,42,False
2013-10-20,31,False
2013-10-21,53,False
2013-10-22,61,False
2013-10-23,52,False
2013-10-24,89,False
2013-10-25,83,False
2013-10-26,64,False
2013-10-27,31,False
2013-10-28,26,False
2013-10-29,92,False
2013-10-30,53,False
2013-10-31,37,False
