date,TWTR,isPartial
2012-09-01,100,False
2012-09-02,33,False
2012-09-03,0,False
2012-09-04,53,False
2012-09-05,27,False
2012-09-06,27,False
2012-09-07,29,False
2012-09-08,33,False
2012-09-09,33,False
2012-09-10,79,False
2012-09-11,39,False
2012-09-12,40,False
2012-09-13,53,False
2012-09-14,41,False
2012-09-15,0,False
2012-09-16,32,False
2012-09-17,27,False
2012-09-18,26,False
2012-09-19,52,False
2012-09-20,26,False
2012-09-21,42,False
2012-09-22,0,False
2012-09-23,62,False
2012-09-24,52,False
2012-09-25,26,False
2012-09-26,78,False
2012-09-27,53,False
2012-09-28,55,False
2012-09-29,64,False
2012-09-30,94,False
