date,SBUX stock,isPartial
2014-03-01,22,False
2014-03-02,32,False
2014-03-03,46,False
2014-03-04,93,False
2014-03-05,92,False
2014-03-06,46,False
2014-03-07,68,False
2014-03-08,22,False
2014-03-09,0,False
2014-03-10,37,False
2014-03-11,100,False
2014-03-12,64,False
2014-03-13,46,False
2014-03-14,77,False
2014-03-15,65,False
2014-03-16,43,False
2014-03-17,37,False
2014-03-18,55,False
2014-03-19,55,False
2014-03-20,92,False
2014-03-21,86,False
2014-03-22,22,False
2014-03-23,62,False
2014-03-24,45,False
2014-03-25,45,False
2014-03-26,36,False
2014-03-27,83,False
2014-03-28,0,False
2014-03-29,32,False
2014-03-30,0,False
2014-03-31,45,False
