date,AMZN stock,isPartial
2012-02-01,100,False
2012-02-02,83,False
2012-02-03,78,False
2012-02-04,30,False
2012-02-05,20,False
2012-02-06,50,False
2012-02-07,33,False
2012-02-08,49,False
2012-02-09,50,False
2012-02-10,43,False
2012-02-11,0,False
2012-02-12,19,False
2012-02-13,24,False
2012-02-14,67,False
2012-02-15,51,False
2012-02-16,25,False
2012-02-17,26,False
2012-02-18,0,False
2012-02-19,31,False
2012-02-20,0,False
2012-02-21,52,False
2012-02-22,25,False
2012-02-23,17,False
2012-02-24,17,False
2012-02-25,20,False
2012-02-26,0,False
2012-02-27,49,False
2012-02-28,24,False
2012-02-29,25,False
