date,TXN stock,isPartial
2015-06-01,0,False
2015-06-02,63,False
2015-06-03,63,False
2015-06-04,33,False
2015-06-05,34,False
2015-06-06,0,False
2015-06-07,38,False
2015-06-08,42,False
2015-06-09,31,False
2015-06-10,32,False
2015-06-11,33,False
2015-06-12,100,False
2015-06-13,39,False
2015-06-14,38,False
2015-06-15,93,False
2015-06-16,78,False
2015-06-17,47,False
2015-06-18,43,False
2015-06-19,45,False
2015-06-20,0,False
2015-06-21,0,False
2015-06-22,63,False
2015-06-23,32,False
2015-06-24,0,False
2015-06-25,54,False
2015-06-26,67,False
2015-06-27,58,False
2015-06-28,0,False
2015-06-29,48,False
2015-06-30,32,False
