date,HAS stock,isPartial
2015-01-01,48,False
2015-01-02,49,False
2015-01-03,57,False
2015-01-04,67,False
2015-01-05,84,False
2015-01-06,74,False
2015-01-07,87,False
2015-01-08,55,False
2015-01-09,75,False
2015-01-10,37,False
2015-01-11,58,False
2015-01-12,68,False
2015-01-13,71,False
2015-01-14,92,False
2015-01-15,84,False
2015-01-16,68,False
2015-01-17,82,False
2015-01-18,60,False
2015-01-19,56,False
2015-01-20,83,False
2015-01-21,69,False
2015-01-22,49,False
2015-01-23,86,False
2015-01-24,50,False
2015-01-25,82,False
2015-01-26,82,False
2015-01-27,90,False
2015-01-28,100,False
2015-01-29,99,False
2015-01-30,83,False
2015-01-31,39,False
