date,MCD stock,isPartial
2017-04-01,9,False
2017-04-02,9,False
2017-04-03,24,False
2017-04-04,27,False
2017-04-05,21,False
2017-04-06,26,False
2017-04-07,23,False
2017-04-08,12,False
2017-04-09,6,False
2017-04-10,31,False
2017-04-11,23,False
2017-04-12,18,False
2017-04-13,17,False
2017-04-14,12,False
2017-04-15,8,False
2017-04-16,12,False
2017-04-17,22,False
2017-04-18,29,False
2017-04-19,36,False
2017-04-20,24,False
2017-04-21,22,False
2017-04-22,6,False
2017-04-23,12,False
2017-04-24,40,False
2017-04-25,100,False
2017-04-26,79,False
2017-04-27,54,False
2017-04-28,41,False
2017-04-29,15,False
2017-04-30,6,False
