date,ATVI stock,isPartial
2015-08-01,0,False
2015-08-02,0,False
2015-08-03,74,False
2015-08-04,49,False
2015-08-05,100,False
2015-08-06,50,False
2015-08-07,39,False
2015-08-08,0,False
2015-08-09,29,False
2015-08-10,24,False
2015-08-11,49,False
2015-08-12,24,False
2015-08-13,25,False
2015-08-14,76,False
2015-08-15,0,False
2015-08-16,0,False
2015-08-17,73,False
2015-08-18,48,False
2015-08-19,73,False
2015-08-20,25,False
2015-08-21,50,False
2015-08-22,29,False
2015-08-23,0,False
2015-08-24,35,False
2015-08-25,35,False
2015-08-26,24,False
2015-08-27,96,False
2015-08-28,75,False
2015-08-29,57,False
2015-08-30,71,False
2015-08-31,59,False
