date,TSLA stock,isPartial
2017-03-01,82,False
2017-03-02,100,False
2017-03-03,66,False
2017-03-04,15,False
2017-03-05,11,False
2017-03-06,51,False
2017-03-07,53,False
2017-03-08,52,False
2017-03-09,50,False
2017-03-10,64,False
2017-03-11,8,False
2017-03-12,7,False
2017-03-13,43,False
2017-03-14,45,False
2017-03-15,75,False
2017-03-16,66,False
2017-03-17,52,False
2017-03-18,6,False
2017-03-19,22,False
2017-03-20,32,False
2017-03-21,64,False
2017-03-22,54,False
2017-03-23,50,False
2017-03-24,68,False
2017-03-25,17,False
2017-03-26,8,False
2017-03-27,78,False
2017-03-28,94,False
2017-03-29,91,False
2017-03-30,70,False
2017-03-31,77,False
