date,TSLA,isPartial
2012-06-01,42,False
2012-06-02,17,False
2012-06-03,22,False
2012-06-04,49,False
2012-06-05,27,False
2012-06-06,62,False
2012-06-07,55,False
2012-06-08,66,False
2012-06-09,28,False
2012-06-10,33,False
2012-06-11,66,False
2012-06-12,26,False
2012-06-13,80,False
2012-06-14,27,False
2012-06-15,43,False
2012-06-16,22,False
2012-06-17,17,False
2012-06-18,62,False
2012-06-19,58,False
2012-06-20,53,False
2012-06-21,90,False
2012-06-22,100,False
2012-06-23,80,False
2012-06-24,45,False
2012-06-25,88,False
2012-06-26,57,False
2012-06-27,49,False
2012-06-28,37,False
2012-06-29,53,False
2012-06-30,40,False
