date,COST stock,isPartial
2017-09-01,64,False
2017-09-02,47,False
2017-09-03,62,False
2017-09-04,67,False
2017-09-05,74,False
2017-09-06,73,False
2017-09-07,76,False
2017-09-08,72,False
2017-09-09,40,False
2017-09-10,59,False
2017-09-11,91,False
2017-09-12,83,False
2017-09-13,96,False
2017-09-14,87,False
2017-09-15,88,False
2017-09-16,52,False
2017-09-17,54,False
2017-09-18,95,False
2017-09-19,73,False
2017-09-20,70,False
2017-09-21,77,False
2017-09-22,71,False
2017-09-23,40,False
2017-09-24,59,False
2017-09-25,94,False
2017-09-26,84,False
2017-09-27,100,False
2017-09-28,79,False
2017-09-29,81,False
2017-09-30,36,False
