date,EBAY stock,isPartial
2015-11-01,68,False
2015-11-02,86,False
2015-11-03,100,False
2015-11-04,96,False
2015-11-05,93,False
2015-11-06,87,False
2015-11-07,66,False
2015-11-08,55,False
2015-11-09,80,False
2015-11-10,84,False
2015-11-11,79,False
2015-11-12,82,False
2015-11-13,81,False
2015-11-14,49,False
2015-11-15,62,False
2015-11-16,76,False
2015-11-17,83,False
2015-11-18,89,False
2015-11-19,100,False
2015-11-20,77,False
2015-11-21,48,False
2015-11-22,52,False
2015-11-23,84,False
2015-11-24,88,False
2015-11-25,70,False
2015-11-26,56,False
2015-11-27,69,False
2015-11-28,70,False
2015-11-29,65,False
2015-11-30,77,False
