date,EBAY stock,isPartial
2016-02-01,79,False
2016-02-02,100,False
2016-02-03,81,False
2016-02-04,78,False
2016-02-05,81,False
2016-02-06,67,False
2016-02-07,55,False
2016-02-08,94,False
2016-02-09,86,False
2016-02-10,91,False
2016-02-11,66,False
2016-02-12,90,False
2016-02-13,59,False
2016-02-14,51,False
2016-02-15,64,False
2016-02-16,79,False
2016-02-17,76,False
2016-02-18,77,False
2016-02-19,75,False
2016-02-20,59,False
2016-02-21,60,False
2016-02-22,76,False
2016-02-23,73,False
2016-02-24,64,False
2016-02-25,71,False
2016-02-26,80,False
2016-02-27,57,False
2016-02-28,58,False
2016-02-29,64,False
