date,KO stock,isPartial
2019-02-01,18,False
2019-02-02,13,False
2019-02-03,6,False
2019-02-04,21,False
2019-02-05,21,False
2019-02-06,20,False
2019-02-07,18,False
2019-02-08,20,False
2019-02-09,10,False
2019-02-10,5,False
2019-02-11,21,False
2019-02-12,24,False
2019-02-13,23,False
2019-02-14,96,False
2019-02-15,100,False
2019-02-16,22,False
2019-02-17,10,False
2019-02-18,20,False
2019-02-19,40,False
2019-02-20,40,False
2019-02-21,46,False
2019-02-22,38,False
2019-02-23,17,False
2019-02-24,15,False
2019-02-25,32,False
2019-02-26,44,False
2019-02-27,36,False
2019-02-28,26,False
