date,AMZN stock,isPartial
2014-02-01,65,False
2014-02-02,36,False
2014-02-03,100,False
2014-02-04,58,False
2014-02-05,28,False
2014-02-06,19,False
2014-02-07,54,False
2014-02-08,12,False
2014-02-09,8,False
2014-02-10,55,False
2014-02-11,48,False
2014-02-12,48,False
2014-02-13,52,False
2014-02-14,39,False
2014-02-15,4,False
2014-02-16,8,False
2014-02-17,10,False
2014-02-18,31,False
2014-02-19,48,False
2014-02-20,50,False
2014-02-21,29,False
2014-02-22,16,False
2014-02-23,4,False
2014-02-24,27,False
2014-02-25,55,False
2014-02-26,51,False
2014-02-27,17,False
2014-02-28,40,False
