date,ODP stock,isPartial
2018-03-01,42,False
2018-03-02,44,False
2018-03-03,55,False
2018-03-04,0,False
2018-03-05,31,False
2018-03-06,63,False
2018-03-07,86,False
2018-03-08,65,False
2018-03-09,67,False
2018-03-10,0,False
2018-03-11,36,False
2018-03-12,53,False
2018-03-13,64,False
2018-03-14,32,False
2018-03-15,43,False
2018-03-16,100,False
2018-03-17,55,False
2018-03-18,0,False
2018-03-19,98,False
2018-03-20,64,False
2018-03-21,64,False
2018-03-22,33,False
2018-03-23,78,False
2018-03-24,0,False
2018-03-25,37,False
2018-03-26,97,False
2018-03-27,44,False
2018-03-28,66,False
2018-03-29,46,False
2018-03-30,0,False
2018-03-31,38,False
