date,MSFT stock,isPartial
2014-05-01,62,False
2014-05-02,67,False
2014-05-03,18,False
2014-05-04,41,False
2014-05-05,82,False
2014-05-06,49,False
2014-05-07,66,False
2014-05-08,57,False
2014-05-09,67,False
2014-05-10,26,False
2014-05-11,29,False
2014-05-12,58,False
2014-05-13,70,False
2014-05-14,73,False
2014-05-15,81,False
2014-05-16,79,False
2014-05-17,45,False
2014-05-18,38,False
2014-05-19,64,False
2014-05-20,63,False
2014-05-21,83,False
2014-05-22,100,False
2014-05-23,65,False
2014-05-24,33,False
2014-05-25,20,False
2014-05-26,30,False
2014-05-27,47,False
2014-05-28,75,False
2014-05-29,100,False
2014-05-30,74,False
2014-05-31,26,False
