date,MCD stock,isPartial
2015-05-01,34,False
2015-05-02,24,False
2015-05-03,47,False
2015-05-04,70,False
2015-05-05,100,False
2015-05-06,60,False
2015-05-07,41,False
2015-05-08,64,False
2015-05-09,61,False
2015-05-10,24,False
2015-05-11,60,False
2015-05-12,59,False
2015-05-13,60,False
2015-05-14,82,False
2015-05-15,62,False
2015-05-16,24,False
2015-05-17,35,False
2015-05-18,69,False
2015-05-19,30,False
2015-05-20,99,False
2015-05-21,81,False
2015-05-22,74,False
2015-05-23,48,False
2015-05-24,24,False
2015-05-25,21,False
2015-05-26,49,False
2015-05-27,59,False
2015-05-28,90,False
2015-05-29,42,False
2015-05-30,24,False
2015-05-31,48,False
