date,WDC stock,isPartial
2018-12-01,42,False
2018-12-02,8,False
2018-12-03,70,False
2018-12-04,90,False
2018-12-05,48,False
2018-12-06,76,False
2018-12-07,69,False
2018-12-08,34,False
2018-12-09,14,False
2018-12-10,56,False
2018-12-11,62,False
2018-12-12,70,False
2018-12-13,86,False
2018-12-14,84,False
2018-12-15,22,False
2018-12-16,17,False
2018-12-17,41,False
2018-12-18,83,False
2018-12-19,100,False
2018-12-20,99,False
2018-12-21,76,False
2018-12-22,26,False
2018-12-23,9,False
2018-12-24,64,False
2018-12-25,34,False
2018-12-26,60,False
2018-12-27,87,False
2018-12-28,70,False
2018-12-29,26,False
2018-12-30,12,False
2018-12-31,46,False
